city_id,name
22,Иркутск
103,Ангарск
206,Братск
385,Байкальск
475,Листвянка
490,Усть-Илимск
530,Большое Голоустное
580,Патроны
582,Сарма
583,Сахюрта
651,Байкал
731,Утулик
774,Слюдянка
793,Хужир
951,Грановщина
1938,Тулун
2295,Шелехов
2709,Култук
2834,Железногорск-Илимский
2930,Никола
2941,Усть-Ордынский
3347,Шида
3428,Нижнеудинск
3544,Саянск
3747,Бугульдейка
4023,Мангутай
4024,Большие Коты
4027,Курма
4931,Усть-Кут
7987,Тайшет
8908,Черемхово
9996,Баклаши
10267,Харанцы
10460,Шаманова
10541,Хайрюзовка
10581,Савватеевка
10716,Алагуй